seed;latticeKey;hol;areaKey;detFloat;cVerdict;fillMs;rawCells;solveRawCells
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,1,0,3,0,3,0#1|-3,0,-3,0,1,0,4,0;12;15,0,10,0,1;32.3205;1;0.6;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-1,0,-1,0,-3,0,-2,0#1|-3,0,-2,0,4,0,3,0;12;15,0,10,0,1;32.3205;1;4.7;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-1,0,2,0,4,0,1,0#1|-4,0,-1,0,3,0,3,0;12;15,0,10,0,1;32.3205;1;3.3;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-1,0,-4,0,-2,0,1,0#1|-2,0,1,0,3,0,3,0;12;15,0,10,0,1;32.3205;1;0.7;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-1,0,0,0,-4,0,-2,0#1|-4,0,-2,0,5,0,2,0;12;24,0,25,0,2;33.6506;1;2.2;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-1,0,2,0,5,0,0,0#1|-5,0,0,0,4,0,2,0;12;24,0,25,0,2;33.6506;1;3.1;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,-5,0,2,0,4,0#1|0,0,-1,0,2,0,5,0;12;24,0,25,0,2;33.6506;1;0.7;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,1,0,2,0,4,0#1|0,0,-5,0,-2,0,1,0;12;24,0,25,0,2;33.6506;1;0.6;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-4,0,-2,0,5,0,2,0#1|-5,0,-2,0,1,0,0,0;12;24,0,25,0,2;33.6506;1;2.3;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,-4,0,0,0,5,0#1|-2,0,1,0,2,0,4,0;12;24,0,25,0,2;33.6506;1;0.6;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,0,0,5,0,2,0#1|-5,0,-2,0,3,0,2,0;12;30,0,23,0,2;34.9186;0;0.7;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-3,0,0,0,5,0,2,0#1|-5,0,-2,0,2,0,2,0;12;30,0,23,0,2;34.9186;0;0.6;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,-3,0,2,0,5,0#1|0,0,-2,0,-2,0,-3,0;12;30,0,23,0,2;34.9186;0;2.1;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,-2,0,2,0,5,0#1|0,0,-3,0,-2,0,-2,0;12;30,0,23,0,2;34.9186;0;7.2;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,-3,0,2,0,5,0#1|-2,0,-5,0,0,0,2,0;12;30,0,23,0,2;34.9186;0;3.0;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-1,0,0,0,5,0,2,0#1|-5,0,-2,0,4,0,2,0;12;30,0,25,0,2;36.6506;0;3.2;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-4,0,0,0,5,0,2,0#1|-5,0,-2,0,1,0,2,0;12;30,0,25,0,2;36.6506;0;3.0;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,-4,0,2,0,5,0#1|0,0,-1,0,-2,0,-4,0;12;30,0,25,0,2;36.6506;0;2.2;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,-1,0,2,0,5,0#1|0,0,-4,0,-2,0,-1,0;12;30,0,25,0,2;36.6506;0;5.0;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-2,0,-1,0,2,0,5,0#1|-2,0,-5,0,0,0,4,0;12;30,0,25,0,2;36.6506;0;4.9;0;0
[3,3,3,3,3,3;3,3,4,3,4;3,3,4,12];1|-1,0,-2,0,-4,0,0,0#1|-4,0,0,0,5,0,2,0;12;30,0,25,0,2;36.6506;0;3.1;0;0
